Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
284,Kevin Martin,SG,30,MIN,56,56,1813,7.3,17.0,.429,1.9,5.0,.387,5.3,12.0,.447,5.2,5.8,.894,0.6,3.0,3.6,2.1,1.1,0.1,1.7,1.9,21.7
285,Roger Mason,SG,33,MIA,25,2,260,3.5,9.3,.373,2.4,6.6,.354,1.1,2.6,.421,1.0,1.0,1.000,0.1,2.9,3.0,2.6,0.8,0.1,1.2,3.6,10.2
286,Wesley Matthews,SG,27,POR,67,67,2298,5.7,13.0,.440,2.5,6.4,.394,3.2,6.5,.486,3.2,3.9,.825,0.7,3.3,4.0,2.5,1.0,0.2,1.3,2.2,17.1
287,Jason Maxiell,PF,30,ORL,33,13,483,3.5,7.7,.456,0.0,0.0,,3.5,7.7,.456,1.0,2.0,.481,2.1,4.2,6.3,0.7,0.6,1.4,1.0,3.5,8.0
288,Eric Maynor,PG,26,TOT,31,0,327,3.5,11.1,.317,1.3,4.1,.324,2.2,7.0,.313,0.7,1.2,.545,1.0,3.3,4.3,5.7,1.0,0.3,3.2,1.9,9.0
289,O.J. Mayo,SG,26,MIL,50,23,1301,5.9,14.6,.401,2.2,6.0,.369,3.7,8.6,.423,2.1,2.4,.872,0.7,2.6,3.3,3.0,0.8,0.4,2.6,3.0,16.0
290,Luc Mbah a Moute,PF-SF,27,TOT,51,7,769,2.8,6.4,.438,0.1,0.6,.167,2.7,5.9,.464,1.7,2.6,.673,2.1,3.4,5.5,1.4,1.1,0.5,1.5,2.5,7.4
291,Ray McCallum,PG,22,SAC,30,0,355,4.2,11.3,.369,0.9,2.7,.333,3.2,8.5,.381,1.4,1.5,.933,1.0,2.9,4.0,3.7,0.6,0.3,1.3,3.7,10.6
292,C.J. McCollum,SG,22,POR,29,0,408,5.6,13.2,.420,2.2,5.9,.373,3.4,7.3,.458,1.4,1.9,.727,0.5,3.0,3.5,1.9,1.1,0.2,2.6,4.1,14.7
293,JaVale McGee,C,26,DEN,5,5,79,7.7,17.3,.447,0.0,0.0,,7.7,17.3,.447,0.5,0.5,1.000,4.6,3.2,7.7,0.9,0.5,3.2,3.6,7.3,15.9
294,Ben McLemore,SG,20,SAC,67,40,1629,4.1,11.2,.368,1.5,4.9,.314,2.6,6.3,.411,1.7,2.0,.815,0.9,3.2,4.1,1.3,0.9,0.3,1.6,3.6,11.4
295,Josh McRoberts,PF,26,CHA,66,66,1995,3.8,8.7,.435,1.6,4.3,.368,2.2,4.4,.500,0.9,1.3,.712,1.3,4.6,5.8,5.0,0.9,0.7,1.2,2.8,10.1
296,Jodie Meeks,SG,26,LAL,61,54,1998,5.7,12.5,.457,2.4,6.0,.402,3.3,6.5,.508,3.0,3.5,.853,0.5,2.4,2.9,1.9,1.5,0.1,1.7,1.8,16.8
297,Gal Mekel,PG,25,DAL,31,1,292,3.7,10.6,.349,0.6,2.5,.250,3.1,8.1,.379,1.0,1.5,.667,0.6,2.7,3.3,7.8,0.5,0.1,3.8,3.8,9.0
298,Khris Middleton,SF,22,MIL,67,49,1955,5.6,12.5,.448,1.8,4.2,.419,3.8,8.3,.462,1.6,1.9,.838,0.9,3.7,4.6,2.6,1.3,0.3,1.8,3.4,14.6
299,C.J. Miles,SG,26,CLE,50,34,982,6.5,15.0,.435,3.0,7.7,.393,3.5,7.3,.480,2.3,2.7,.853,0.7,3.1,3.8,1.9,1.7,0.5,1.6,3.8,18.4
300,Andre Miller,SG,37,TOT,42,2,732,4.1,9.0,.454,0.5,1.0,.500,3.6,8.0,.448,2.5,3.2,.769,1.0,3.6,4.7,6.9,1.1,0.3,2.0,2.6,11.1
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
