TEAM,Y!,ESPN,CBS,FIRST_NAME,LAST_NAME,GP,MPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,PPG,OREB,DREB,TREB,AST,TO,AST/TO,STL,BLK,PF,DD,TD,TOTMIN,TOTFGM,TOTFGA,FG%,TOT3PM,TOT3PA,3P%,TOTFTM,TOTFTA,FT%,TOTPTS,TOTOR,TOTDR,TOTREB,TOTAST,TOTTO,TOTSTL,TOTBLK,TOTPF,Comments,Name
BRK,PF/C,PF/C,PF,Andray,Blatche,58,18,3.22,7,46.00%,0.13,0.5,0.26,1.152,1.6,72.00%,7.7,1.5,2.9,4.4,0.6,1,0.6,0.65,0.55,1.6,1,0,1296,231.84,504,46.00%,9.36,36,0.26,82.944,115.2,72.00%,555.98,108,208.8,316.8,43.2,72,46.8,39.6,115.2,AVOID,Andray Blatche
SAS,PG,PG,PG,Patrick,Mills,66,14,2.87,6.6,43.50%,1.15,2.8,0.41,0.8,1,80.00%,7.7,0.2,1.2,1.4,2.2,1.4,1.57,0.55,0,1.1,0,0,924,189.49,435.6,43.50%,75.768,184.8,0.41,52.8,66,80.00%,507.54,13.2,79.2,92.4,145.2,92.4,36.3,0,72.6,B-ROLE,Patrick Mills
MIL,PF,PF,PF,John,Henson,72,18,3.2,6.4,50.00%,0,0,0,1.23,2.2,56.00%,7.6,1.5,3.7,5.2,1,1.3,0.77,0.35,1.55,2.2,3,0,1296,230.4,460.8,50.00%,0,0,0,88.704,158.4,56.00%,549.5,108,266.4,374.4,72,93.6,25.2,111.6,158.4,,John Henson
IND,PF/C,PF,PF,Tyler,Hansbrough,75,18,2.55,6,42.50%,0,0,0,2.53,3.2,79.00%,7.6,1.6,2.4,4,0.4,0.8,0.5,0.6,0.15,2,0,0,1350,191.25,450,42.50%,0,0,0,189.6,240,79.00%,572.1,120,180,300,30,60,45,11.25,150,AVOID,Tyler Hansbrough
MIL,C,C,C,Samuel,Dalembert,75,25,3.21,6.3,51.00%,0,0,0,1.17,1.6,73.00%,7.6,2.5,5.3,7.8,0.6,1.2,0.5,0.5,1.6,2.8,13,0,1875,240.98,472.5,51.00%,0,0,0,87.6,120,73.00%,569.55,187.5,397.5,585,45,90,37.5,120,210,,Samuel Dalembert
DAL,SF/PF,SF,SF,Jae,Crowder,75,18,2.7,6,45.00%,0.9,2.5,0.36,1.28,1.7,75.00%,7.6,0.7,2.7,3.4,1,1,1,1.15,0.25,1.8,2,0,1350,202.5,450,44.00%,67.5,187.5,0.36,95.625,127.5,74.00%,568.12,52.5,202.5,255,75,75,86.25,18.75,135,D-SLEEP,Jae Crowder
DEN,SF,SG,SF,Jordan,Hamilton,74,15,2.77,6.6,42.00%,1.22,3.2,0.38,0.81,1.1,74.00%,7.6,0.4,2,2.4,1,0.8,1.25,0.5,0.15,1.4,0,0,1110,205.13,488.4,42.00%,89.984,236.8,0.38,60.236,81.4,74.00%,560.48,29.6,148,177.6,74,59.2,37,11.1,103.6,B-ROLE,Jordan Hamilton
POR,C,C,C,Meyers,Leonard,72,24,2.88,5.6,51.50%,0,0,0,1.76,2.4,73.50%,7.5,1.8,4.4,6.2,0.8,1.5,0.53,0.25,1.15,3.4,5,0,1728,207.65,403.2,51.50%,0,0,0,127.01,172.8,73.50%,542.3,129.6,316.8,446.4,57.6,108,18,82.8,244.8,B-CARE,Meyers Leonard
CLE,PG/SG,PG/SG,SG,Daniel,Gibson,74,22,2.5,6.4,39.00%,1.48,3.8,0.39,0.95,1.2,79.00%,7.4,0.3,1.9,2.2,2,1.2,1.67,0.7,0.3,2,0,0,1628,184.7,473.6,38.00%,109.67,281.2,0.39,70.152,88.8,79.00%,549.23,22.2,140.6,162.8,148,88.8,51.8,22.2,148,AVOID,Daniel Gibson
TOR,PG,PG,PG,Jose,Calderon,72,24,2.79,6.2,45.00%,0.87,2.3,0.38,0.95,1.1,86.00%,7.4,0.2,1.6,1.8,5.8,1.5,3.87,0.65,0.05,1.6,8,0,1728,200.88,446.4,45.00%,62.928,165.6,0.38,68.112,79.2,86.00%,532.8,14.4,115.2,129.6,417.6,108,46.8,3.6,115.2,B-CARE,Jose Calderon
