TEAM,Y!,ESPN,CBS,FIRST_NAME,LAST_NAME,GP,MPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,PPG,OREB,DREB,TREB,AST,TO,AST/TO,STL,BLK,PF,DD,TD,TOTMIN,TOTFGM,TOTFGA,FG%,TOT3PM,TOT3PA,3P%,TOTFTM,TOTFTA,FT%,TOTPTS,TOTOR,TOTDR,TOTREB,TOTAST,TOTTO,TOTSTL,TOTBLK,TOTPF,Comments,Name
CHI,SG/SF,SG,SF,Jimmy,Butler,75,18,1.78,4.2,42.50%,0.19,0.7,0.275,2.24,2.8,80.00%,6,1.2,1.8,3,1,0.8,1.25,0.65,0.25,1.2,0,0,1350,133.88,315,42.50%,14.438,52.5,0.285,168,210,80.50%,450.19,90,135,225,75,60,48.75,18.75,90,B-ROLE,Jimmy Butler
MIA,SF/PF,SF/PF,PF,Rashard,Lewis,66,18,2.18,5.2,42.00%,0.96,2.6,0.37,0.66,0.8,82.00%,6,0.7,2.1,2.8,0.4,0.8,0.5,0.5,0.25,1.4,0,0,1188,144.14,343.2,42.00%,63.492,171.6,0.37,43.296,52.8,82.00%,395.08,46.2,138.6,184.8,26.4,52.8,33,16.5,92.4,AVOID,Rashard Lewis
DET,PF,SF/PF,PF,Charlie,Villanueva,60,14,2.26,5.8,39.00%,0.98,2.8,0.35,0.48,0.6,80.00%,6,0.6,2.2,2.8,0.4,0.6,0.67,0.35,0.4,1.8,0,0,840,135.72,348,39.00%,58.8,168,0.35,28.8,36,80.00%,359.04,36,132,168,24,36,21,24,108,AVOID,Charlie Villanueva
DET,SF/PF,SF/PF,SF,Austin,Daye,66,16,2.18,5.2,42.00%,0.74,2,0.37,0.87,1.1,79.00%,6,0.5,2.3,2.8,0.8,1,0.8,0.45,0.55,1.8,0,0,1056,144.14,343.2,42.00%,48.84,132,0.37,57.354,72.6,79.00%,394.48,33,151.8,184.8,52.8,66,29.7,36.3,118.8,D-SLEEP/ B-CARE,Austin Daye
WAS,SG/SF,SG/SF,SF,Cartier,Martin,68,14,2.11,4.8,44.00%,1.04,2.6,0.4,0.58,0.8,72.00%,5.8,0.5,1.5,2,0.4,0.4,1,0.4,0.15,1.2,0,0,952,143.62,326.4,44.00%,70.72,176.8,0.4,39.168,54.4,72.00%,397.12,34,102,136,27.2,27.2,27.2,10.2,81.6,,Cartier Martin
NOR,PG,PG,PG,Brian,Roberts,70,12,2.064,4.8,43.00%,0.67,1.8,0.37,1.04,1.3,80.00%,5.8,0.1,0.9,1,2.2,1.2,1.833,0.45,0,1.7,0,0,840,144.48,336,43.00%,46.62,126,0.35,72.8,91,78.00%,408.38,7,63,70,154,84,31.5,0,119,,Brian Roberts
IND,C,C,C,Ian,Mahinmi,74,18,2.09,3.8,55.00%,0,0,0,1.63,2.4,68.00%,5.8,1.7,2.9,4.6,0.3,0.9,0.33,0.55,0.55,2.8,1,0,1332,154.66,281.2,55.00%,0,0,0,120.77,177.6,68.00%,430.09,125.8,214.6,340.4,22.2,66.6,40.7,40.7,207.2,AVOID,Ian Mahinmi
DEN,PF/C,PF,PF,Anthony,Randolph,70,12,2.18,4.6,47.50%,0,0,0,1.39,1.9,73.00%,5.8,1,2.2,3.2,0.6,0.9,0.67,0.35,0.75,1.4,0,0,840,152.95,322,47.50%,0,0,0,97.09,133,73.00%,402.99,70,154,224,42,63,24.5,52.5,98,B-CARE,Anthony Randolph
WAS,SG/SF,SG/SF,SF,Martell,Webster,66,16,2.02,4.8,42.00%,0.81,2.2,0.37,0.77,1,77.00%,5.6,0.3,1.7,2,0.6,0.7,0.86,0.35,0.15,1.5,0,0,1056,133.06,316.8,0.00%,53.724,145.2,0,50.82,66,0.00%,370.66,19.8,112.2,132,39.6,46.2,23.1,9.9,99,,Martell Webster
CLE,PF,PF,PF,Samardo,Samuels,70,14,2.024,4.4,46.00%,0,0,0,1.564,2.3,68.00%,5.6,1.2,2.2,3.4,0.4,1,0.4,0.35,0.45,2.4,0,0,980,141.68,308,46.00%,0,0,0,109.48,161,68.00%,392.84,84,154,238,28,70,24.5,31.5,168,D-SLEEP,Samardo Samuels
HOU,PG,PG,PG,Scott,Machado,74,18,2,5,40.00%,0.28,1,0.28,1.33,1.8,74.00%,5.6,0.3,1.1,1.4,4.2,2.5,1.68,0.95,0.05,2,1,0,1332,148,370,43.00%,20.72,74,0.23,98.568,133.2,60.00%,415.29,22.2,81.4,103.6,310.8,185,70.3,3.7,148,D-SLEEP,Scott Machado
CHA,C,C,C,Brendan,Haywood,70,22,2.24,4.3,52.00%,0,0,0,1.08,2,54.00%,5.6,2.3,3.7,6,0.2,0.8,0.25,0.2,1.2,2.3,3,0,1540,156.52,301,53.00%,0,0,0,75.6,140,54.00%,388.64,161,259,420,14,56,14,84,161,AVOID,Brendan Haywood
PHI,SG,PG,PG,Maalik,Wayns,74,14,1.79,4.6,39.00%,0.5,1.6,0.31,1.46,1.8,81.00%,5.5,0.2,1.1,1.3,2.5,1.4,1.79,0.4,0,1.5,0,0,1036,132.76,340.4,37.00%,36.704,118.4,0.34,107.89,133.2,70.00%,410.11,14.8,81.4,96.2,185,103.6,29.6,0,111,,Maalik Wayns
MIA,PF,PF,PF,Udonis,Haslem,72,22,2.29,5.2,44.00%,0,0,0,0.95,1.2,79.00%,5.5,1.7,5,6.7,0.5,0.9,0.56,0.5,0.3,2,1,0,1584,164.74,374.4,44.00%,0,0,0,68.256,86.4,79.00%,397.73,122.4,360,482.4,36,64.8,36,21.6,144,AVOID,Udonis Haslem
LAC,PG/SG,PG,PG,Eric,Bledsoe,76,16,2.04,4.8,42.50%,0.37,1.3,0.285,1.07,1.5,71.50%,5.5,0.8,1.7,2.5,2.5,1.5,1.67,1.15,0.35,1.8,1,0,1216,155.04,364.8,41.50%,28.158,98.8,0.25,81.51,114,71.50%,419.75,60.8,129.2,190,190,114,87.4,26.6,136.8,B-ROLE,Eric Bledsoe
OKC,SG,SG,SG,Daequan,Cook,75,16,1.9,5,38.00%,1.44,4,0.36,0.22,0.3,72.00%,5.5,0.2,1.8,2,0.3,0.3,1,0.3,0.1,1,0,0,1200,142.5,375,38.00%,108,300,0.36,16.2,22.5,72.00%,409.2,15,135,150,22.5,22.5,22.5,7.5,75,,Daequan Cook
OKC,C,C,C,Kendrick,Perkins,72,26,2.2,4.4,50.00%,0,0,0,1.01,1.6,63.00%,5.4,1.9,4.7,6.6,1.2,1.6,0.75,0.35,1.15,3,3,0,1872,158.4,316.8,50.00%,0,0,0,72.576,115.2,63.00%,389.38,136.8,338.4,475.2,86.4,115.2,25.2,82.8,216,,Kendrick Perkins
POR,PG,SG,PG,Nolan,Smith,72,16,2.08,5.2,40.00%,0.42,1.4,0.3,0.8,1,80.00%,5.4,0.6,1.2,1.8,2.4,1.3,1.85,0.6,0.15,1.6,0,0,1152,149.76,374.4,40.00%,30.24,100.8,0.3,57.6,72,80.00%,387.36,43.2,86.4,129.6,172.8,93.6,43.2,10.8,115.2,,Nolan Smith
MIL,PG,PG/SG,PG,Beno,Udrih,74,16,2.28,5,45.50%,0.24,0.8,0.3,0.58,0.8,72.00%,5.4,0.3,1.1,1.4,3,1.2,2.5,0.5,0,1.3,0,0,1184,168.35,370,45.50%,17.76,59.2,0.3,42.624,59.2,72.00%,397.08,22.2,81.4,103.6,222,88.8,37,0,96.2,,Beno Udrih
OKC,C,C,C,Cole,Aldrich,74,16,2.12,4,53.00%,0,0,0,0.98,1.3,75.00%,5.2,1,2.6,3.6,0.4,0.8,0.5,0.45,0.85,2.5,0,0,1184,156.88,296,53.00%,0,0,0,72.15,96.2,73.00%,385.91,74,192.4,266.4,29.6,59.2,33.3,62.9,185,,Cole Aldrich
GSW,C,C,C,Festus,Ezeli,74,18,2.12,4,53.00%,0,0,0,0.96,1.5,64.00%,5.2,1.3,2.5,3.8,0.2,1,0.2,0.25,1.15,2.2,0,0,1332,156.88,296,50.00%,0,0,0,71.04,111,64.00%,384.8,96.2,185,281.2,14.8,74,18.5,85.1,162.8,D-SLEEP,Festus Ezeli
WAS,PF,SF,PF,Jan,Vesely,72,18,2.14,4,53.50%,0.07,0.2,0.33,0.83,1.4,59.50%,5.2,1.6,2.4,4,0.9,1.1,0.82,0.65,0.55,2.6,0,0,1296,154.08,288,53.00%,4.752,14.4,0,59.976,100.8,54.00%,372.89,115.2,172.8,288,64.8,79.2,46.8,39.6,187.2,AVOID,Jan Vesely
MIL,PG,SG,SG,Doron,Lamb,70,12,1.71,3.8,45.00%,0.8,2,0.4,0.82,1,82.00%,5,0.1,0.7,0.8,0.8,0.7,1.14,0.25,0.05,1.5,0,0,840,119.7,266,45.00%,56,140,0.4,57.4,70,82.00%,352.8,7,49,56,56,49,17.5,3.5,105,D-SLEEP,Doron Lamb
ORL,SF,SF,SF,Maurice,Harkless,60,14,1.93,4.6,42.00%,0.21,0.8,0.26,0.95,1.4,68.00%,5,0.9,2.1,3,0.6,1,0.6,0.55,0.35,1.2,0,0,840,115.92,276,42.00%,12.48,48,0.26,57.12,84,68.00%,301.44,54,126,180,36,60,33,21,72,AVOID,Maurice Harkless
CHA,SG/SF,SG/SF,SG,Reggie,Williams,66,12,1.85,4.2,44.00%,0.65,1.8,0.36,0.67,0.9,74.00%,5,0.3,1.1,1.4,1,0.5,2,0.3,0,0.8,0,0,792,121.97,277.2,44.00%,42.768,118.8,0.36,43.956,59.4,74.00%,330.66,19.8,72.6,92.4,66,33,19.8,0,52.8,AVOID,Reggie Williams
CLE,SG/SF,SF,SF,Kelenna,Azubuike,20,12,1.89,4.2,45.00%,0.44,1.2,0.37,0.78,1,78.00%,5,0.6,1.4,2,0.6,0.5,1.2,0.3,0.2,1,0,0,240,37.8,84,45.00%,8.88,24,0.37,15.6,20,78.00%,100.08,12,28,40,12,10,6,4,20,,Kelenna Azubuike
DET,SF,SF,SF,Kyle,Singler,60,14,1.76,4,44.00%,0.53,1.4,0.38,0.91,1.2,76.00%,5,0.7,1.5,2.2,0.8,1,0.8,0.35,0.15,1.4,0,0,840,105.6,240,44.00%,31.92,84,0.38,54.72,72,76.00%,297.84,42,90,132,48,60,21,9,84,D-SLEEP,Kyle Singler
POR,SF/PF,PF,PF,Joel,Freeland,66,12,2.016,4.2,48.00%,0.18,0.6,0.3,0.74,1,74.00%,5,0.8,2.2,3,0.4,0.6,0.666666667,0.3,0.2,1.5,0,0,792,133.06,277.2,48.00%,11.88,39.6,0.3,48.84,66,74.00%,326.83,52.8,145.2,198,26.4,39.6,19.8,13.2,99,D-SLEEP,Joel Freeland
LAL,SG/SF,SF,SF,Devin,Ebanks,72,18,1.76,4.2,42.00%,0.08,0.4,0.2,1.22,1.7,72.00%,4.8,1.3,1.3,2.6,0.5,0.7,0.71,0.55,0.35,1.2,0,0,1296,127.01,302.4,42.00%,5.76,28.8,0.2,88.128,122.4,72.00%,347.9,93.6,93.6,187.2,36,50.4,39.6,25.2,86.4,,Devin Ebanks
HOU,PG/SG,PG/SG,PG,Toney,Douglas,62,12,1.79,4.6,39.00%,0.75,2.2,0.34,0.49,0.6,82.00%,4.8,0.3,1.1,1.4,1.4,0.8,1.75,0.55,0.05,1.3,0,0,744,111.23,285.2,39.00%,46.376,136.4,0.35,30.504,37.2,82.00%,299.34,18.6,68.2,86.8,86.8,49.6,34.1,3.1,80.6,AVOID,Toney Douglas
LAC,SG,SG,SG,Willie,Green,72,12,1.89,4.2,45.00%,0.46,1.3,0.35,0.56,0.7,80.00%,4.8,0.2,0.8,1,0.5,0.4,1.25,0.35,0.05,1,0,0,864,136.08,302.4,45.00%,32.76,93.6,0.35,40.32,50.4,80.00%,345.24,14.4,57.6,72,36,28.8,25.2,3.6,72,,Willie Green
NOR,SF/PF,SF,SF,Darius,Miller,70,16,1.64,4,41.00%,0.86,2.4,0.36,0.64,0.8,80.00%,4.8,0.6,1.4,2,1.2,0.8,1.5,0.5,0.25,1.6,0,0,1120,114.8,280,41.00%,60.48,168,0.36,44.8,56,80.00%,334.88,42,98,140,84,56,35,17.5,112,D-SLEEP,Darius Miller
POR,SF,SF,SF,Adam,Morrison,20,12,1.84,4.6,40.00%,0.58,1.6,0.36,0.38,0.5,76.00%,4.6,0.4,1,1.4,0.8,0.6,1.33,0.15,0.05,1.2,0,0,240,36.8,92,40.00%,11.52,32,0.36,7.6,10,76.00%,92.72,8,20,28,16,12,3,1,24,,Adam Morrison
POR,SF,SF,SF,Luke,Babbit,72,12,1.64,4.2,39.00%,0.94,2.4,0.39,0.4,0.5,79.00%,4.6,0.3,1.7,2,0.5,0.5,1,0.2,0.1,1,0,0,864,117.94,302.4,39.00%,67.392,172.8,0.39,28.44,36,79.00%,331.7,21.6,122.4,144,36,36,14.4,7.2,72,D-SLEEP,Luke Babbit
ATL,C,C,C,Zaza,Pachulia,74,18,1.71,3.6,47.50%,0,0,0,1.18,1.6,73.50%,4.6,1.8,3.2,5,0.8,0.9,0.89,0.5,0.3,2,3,0,1332,126.54,266.4,47.50%,0,0,0,87.024,118.4,73.50%,340.1,133.2,236.8,370,59.2,66.6,37,22.2,148,AVOID,Zaza Pachulia
CLE,SF,SG/SF,SF,Omri,Casspi,74,14,1.72,4.2,41.00%,0.59,1.8,0.33,0.55,0.8,69.00%,4.6,0.6,1.8,2.4,0.7,0.6,1.17,0.4,0.1,1.2,0,0,1036,127.43,310.8,41.00%,43.956,133.2,0.33,40.848,59.2,69.00%,339.66,44.4,133.2,177.6,51.8,44.4,29.6,7.4,88.8,AVOID,Omri Casspi
OKC,SG/SF,SG/SF,SF,Thabo,Sefolosha,70,21,1.51,3.6,42.00%,0.62,1.6,0.39,0.77,0.9,86.00%,4.4,0.5,2.5,3,1,0.8,1.25,0.8,0.4,1.8,0,0,1470,105.84,252,42.00%,43.68,112,0.39,54.18,63,86.00%,309.54,35,175,210,70,56,56,28,126,AVOID,Thabo Sefolosha
WAS,SF,SF,SF,Chris,Singleton,70,18,1.64,4.2,39.00%,0.72,2,0.36,0.42,0.6,70.00%,4.4,0.5,2.3,2.8,0.6,0.5,1.2,0.8,0.3,2.2,0,0,1260,114.66,294,39.00%,50.4,140,0.36,29.4,42,70.00%,309.12,35,161,196,42,35,56,21,154,AVOID,Chris Singleton
LAL,PF/C,PF/C,C,Jordan,Hill,66,12,1.8,3.6,50.00%,0,0,0,0.82,1.2,68.00%,4.4,1.4,2.8,4.2,0.3,0.6,0.5,0.25,0.65,1.6,1,0,792,118.8,237.6,50.00%,0,0,0,53.856,79.2,68.00%,291.46,92.4,184.8,277.2,19.8,39.6,16.5,42.9,105.6,,Jordan Hill
NYK,PG,PG,PG,Jason,Kidd,74,20,1.52,4,38.00%,1.14,3,0.38,0.23,0.3,78.00%,4.4,0.2,2.4,2.6,3.6,1.2,3,1,0.15,1.2,1,0,1480,112.48,296,38.00%,84.36,222,0.38,17.316,22.2,78.00%,326.64,14.8,177.6,192.4,266.4,88.8,74,11.1,88.8,AVOID,Jason Kidd
POR,SG,SG,SG,Will,Barton,72,12,1.6,3.8,42.00%,0.41,1.2,0.34,0.81,1.1,74.00%,4.4,0.5,1.3,1.8,0.6,0.8,0.75,0.4,0.15,1,0,0,864,114.91,273.6,42.00%,29.376,86.4,0.34,58.608,79.2,74.00%,317.81,36,93.6,129.6,43.2,57.6,28.8,10.8,72,D-SLEEP,Will Barton
MIA,SG/SF,SF,SF,Shane,Battier,75,22,1.6,4.2,38.00%,0.84,2.4,0.35,0.2,0.3,66.00%,4.2,0.9,1.7,2.6,1.2,0.5,2.4,0.9,0.5,1.6,0,0,1650,119.7,315,38.00%,63,180,0.35,14.85,22.5,66.00%,317.25,67.5,127.5,195,90,37.5,67.5,37.5,120,AVOID,Shane Battier
DEN,C,C,C,Timofey,Mozgov,70,12,1.75,3.3,53.00%,0,0,0,0.71,1,71.00%,4.2,0.9,2.1,3,0.3,0.7,0.43,0.25,0.65,1.7,1,0,840,122.43,231,54.00%,0,0,0,49.7,70,71.00%,294.56,63,147,210,21,49,17.5,45.5,119,D-SLEEP,Timofey Mozgov
SAC,SG/SF,SG/SF,SF,Francisco,Garcia,60,14,1.52,4,38.00%,0.77,2.4,0.32,0.4,0.5,80.00%,4.2,0.2,1.6,1.8,0.6,0.4,1.5,0.5,0.5,1.3,0,0,840,91.2,240,38.00%,46.08,144,0.32,24,30,80.00%,252.48,12,96,108,36,24,30,30,78,AVOID,Francisco Garcia
GSW,SF,SF,SF,Richard,Jefferson,72,12,1.435,3.5,41.00%,0.8,2.1,0.38,0.518,0.7,74.00%,4.2,0.2,1.4,1.6,0.6,0.4,1.5,0.25,0.1,1.1,0,0,864,103.32,252,40.00%,57.456,151.2,0.38,37.296,50.4,74.00%,301.39,14.4,100.8,115.2,43.2,28.8,18,7.2,79.2,AVOID,Richard Jefferson
NYK,SG/SF,SG,SF,James,White,66,10,1.56,3.4,46.00%,0.27,0.8,0.34,0.78,1,78.00%,4.2,0.2,1.2,1.4,0.4,0.7,0.57,0.3,0.15,0.7,0,0,660,103.22,224.4,46.00%,17.952,52.8,0.34,51.48,66,78.00%,275.88,13.2,79.2,92.4,26.4,46.2,19.8,9.9,46.2,,James White
OKC,PG,PG,PG,Eric,Maynor,72,14.5,1.6,4,40.00%,0.52,1.4,0.37,0.44,0.6,73.00%,4.2,0.3,1.1,1.4,2.8,1.1,2.55,0.5,0.05,1.5,0,0,1044,115.2,288,40.00%,37.296,100.8,0.37,31.536,43.2,73.00%,299.23,21.6,79.2,100.8,201.6,79.2,36,3.6,108,,Eric Maynor
OKC,PF/C,PF/C,PF,Nick,Collison,75,20,1.72,3,57.50%,0,0,0,0.58,0.8,72.50%,4,1.7,2.5,4.2,1.1,1,1.1,0.5,0.35,2.4,0,0,1500,129.38,225,57.50%,0,0,0,43.5,60,72.50%,302.25,127.5,187.5,315,82.5,75,37.5,26.25,180,AVOID,Nick Collison
DAL,PF/C,C,C,Bernard,James,66,10,1.59,3,53.00%,0,0,0,0.81,1.4,58.00%,4,1.6,2.2,3.8,0.1,0.3,0.33,0.3,1.2,2,0,0,660,104.94,198,52.00%,0,0,0.38,53.592,92.4,68.00%,263.47,105.6,145.2,250.8,6.6,19.8,19.8,79.2,132,,Bernard James
OKC,SF/PF,SF,SF,Perry,Jones,70,12,1.504,3.2,47.00%,0.13,0.4,0.32,0.84,1.2,70.00%,4,0.9,1.5,2.4,0.8,1.2,0.666666667,0.35,0.25,1.4,0,0,840,105.28,224,47.00%,8.96,28,0.32,58.8,84,70.00%,278.32,63,105,168,56,84,24.5,17.5,98,,Perry Jones
MEM,SG,SG,SG,Wayne,Ellington,60,12,1.56,3.8,41.00%,0.44,1.2,0.37,0.41,0.5,82.00%,4,0.2,1,1.2,0.4,0.5,0.8,0.3,0.05,0.8,0,0,720,93.48,228,41.00%,26.64,72,0.37,24.6,30,82.00%,238.2,12,60,72,24,30,18,3,48,,Wayne Ellington
PHO,C,C,C,Jermaine,O'Neal,70,16,1.61,3.5,46.00%,0,0,0,0.75,1.1,68.00%,4,0.9,2.7,3.6,0.4,0.7,0.57,0.25,1.05,2.2,1,0,1120,112.7,245,46.00%,0,0,0,52.36,77,68.00%,277.76,63,189,252,28,49,17.5,73.5,154,,Jermaine O'Neal
ATL,SG/SF,SG/SF,SF,DeShawn,Stevenson,72,18,1.32,4,33.00%,0.99,3,0.33,0.33,0.5,66.00%,4,0.3,1.7,2,0.8,0.5,1.6,0.35,0.05,1.1,0,0,1296,95.04,288,33.00%,71.28,216,0.33,23.76,36,66.00%,285.12,21.6,122.4,144,57.6,36,25.2,3.6,79.2,AVOID,DeShawn Stevenson
POR,SF/PF,SF,SF,Victor,Claver,60,10,1.43,3.4,42.00%,0.43,1.2,0.36,0.54,0.8,67.00%,3.8,0.4,1.1,1.5,0.5,0.8,0.62,0.5,0.15,1,0,0,600,85.68,204,42.00%,25.92,72,0.36,32.16,48,67.00%,229.44,24,66,90,30,48,30,9,60,,Victor Claver
DET,PF,PF/C,C,Jason,Maxiell,72,14,1.6,3.2,50.00%,0,0,0,0.6,1.1,55.00%,3.8,1.3,1.7,3,0.4,0.7,0.57,0.3,0.4,1.6,1,0,1008,115.2,230.4,50.00%,0,0,0,43.56,79.2,55.00%,273.96,93.6,122.4,216,28.8,50.4,21.6,28.8,115.2,AVOID,Jason Maxiell
MEM,PG,PG,PG,Tony,Wroten,40,10,1.39,3.4,41.00%,0.1,0.4,0.24,0.92,1.5,61.00%,3.8,0.5,0.7,1.2,0.9,1.1,0.82,0.55,0.1,1.2,0,0,400,55.76,136,41.00%,3.84,16,0.24,36.6,60,61.00%,151.96,20,28,48,36,44,22,4,48,,Tony Wroten
DAL,PG/SG,PG/SG,SG,Dominique,Jones,60,10,1.26,3,42.00%,0.06,0.3,0.2,1.2,1.5,80.00%,3.8,0.3,1.3,1.6,1.4,1,1.4,0.45,0.15,0.8,0,0,600,75.6,180,42.00%,3.6,18,0.2,72,90,80.00%,226.8,18,78,96,84,60,27,9,48,D-SLEEP,Dominique Jones
WAS,PG,PG,PG,Shelvin,Mack,70,12,1.36,3.4,40.00%,0.26,0.8,0.32,0.79,1.1,72.00%,3.8,0.2,1.2,1.4,2,0.8,2.5,0.45,0.05,1,0,0,840,95.2,238,40.00%,17.92,56,0.32,55.44,77,72.00%,263.76,14,84,98,140,56,31.5,3.5,70,,Shelvin Mack
MEM,SG/SF,SF,SF,Quincy,Pondexter,74,13,1.45,3.3,44.00%,0.32,1,0.32,0.4,0.6,66.00%,3.6,0.6,1,1.6,0.3,0.4,0.75,0.3,0.1,1.2,0,0,962,107.45,244.2,44.00%,23.68,74,0.32,29.304,44.4,66.00%,267.88,44.4,74,118.4,22.2,29.6,22.2,7.4,88.8,,Quincy Pondexter
MIA,SG/SF,SG/SF,SG,Mike,Miller,60,12,1.32,3,44.00%,0.84,2,0.42,0.14,0.2,70.00%,3.6,0.4,1.6,2,0.6,0.4,1.5,0.25,0.05,1,0,0,720,79.2,180,44.00%,50.4,120,0.42,8.4,12,70.00%,217.2,24,96,120,36,24,15,3,60,AVOID,Mike Miller
IND,SF,SG,SG,Orlando,Johnson,50,8,1.26,3,42.00%,0.44,1.2,0.37,0.64,0.8,80.00%,3.6,0.3,0.9,1.2,0.4,0.7,0.57,0.25,0.1,0.8,0,0,400,63,150,42.00%,22.2,60,0.37,32,40,80.00%,180.2,15,45,60,20,35,12.5,5,40,,Orlando Johnson
ATL,SG,SG,SG,John,Jenkins,50,8,1.12,2.6,43.00%,0.68,1.8,0.38,0.67,0.8,84.00%,3.6,0.1,0.5,0.6,0.4,0.4,1,0.2,0.05,1,0,0,400,55.9,130,43.00%,34.2,90,0.38,33.6,40,84.00%,179.6,5,25,30,20,20,10,2.5,50,,John Jenkins
PHO,PG,PG,PG,Sebastian,Telfair,50,10,1.32,3.3,40.00%,0.41,1.2,0.34,0.53,0.7,76.00%,3.6,0.2,0.6,0.8,1.6,0.8,2,0.35,0.05,1.1,0,0,500,66,165,40.00%,20.4,60,0.34,26.6,35,76.00%,179,10,30,40,80,40,17.5,2.5,55,,Sebastian Telfair
LAL,PG,PG,PG,Steve,Blake,72,16,1.26,3.4,37.00%,0.81,2.2,0.37,0.23,0.3,78.00%,3.6,0.1,0.9,1,1.6,0.9,1.78,0.4,0,0.8,0,0,1152,90.576,244.8,37.00%,58.608,158.4,0.37,16.848,21.6,78.00%,256.61,7.2,64.8,72,115.2,64.8,28.8,0,57.6,AVOID,Steve Blake
BOS,PG/SG,SG,PG,Dionte,Christmas,20,8,1.18,2.8,42.00%,0.43,1.2,0.36,0.78,1,78.00%,3.6,0.2,0.8,1,0.8,0.5,1.6,0.35,0.05,1,0,0,160,23.52,56,42.00%,8.64,24,0.36,15.6,20,78.00%,71.28,4,16,20,16,10,7,1,20,D-SLEEP,Dionte Christmas
POR,PG/SG,PG,PG,Ronnie,Price,60,12,1.29,3.4,38.00%,0.38,1.2,0.32,0.59,0.8,74.00%,3.6,0.4,1,1.4,1.8,1.1,1.64,0.65,0.05,2,0,0,720,77.52,204,38.00%,23.04,72,0.32,35.52,48,74.00%,213.6,24,60,84,108,66,39,3,120,,Ronnie Price
CHI,PG,PG,PG,Marquis,Teague,62,10,1.17,3,39.00%,0.23,0.7,0.33,0.98,1.3,75.00%,3.5,0.2,0.8,1,2,1.3,1.54,0.45,0.05,1,0,0,620,72.54,186,39.00%,14.322,43.4,0.33,60.45,80.6,75.00%,219.85,12.4,49.6,62,124,80.6,27.9,3.1,62,D-SLEEP/ B-CARE,Marquis Teague
SAS,PG/SG,SG,PG,Nando,De Colo,70,8,1.26,3,42.00%,0.5,1.4,0.36,0.52,0.6,86.00%,3.5,0.1,0.5,0.6,1,0.7,1.43,0.4,0,2,0,0,560,88.2,210,0.00%,35.28,98,0,36.12,42,0.00%,247.8,7,35,42,70,49,28,0,140,,Nando De Colo
MIN,PF,PF,PF,Dante,Cunningham,70,12,1.5,3,50.00%,0.04,0.2,0.2,0.48,0.7,68.00%,3.5,0.8,2.2,3,0.3,0.3,1,0.4,0.3,1.3,0,0,840,105,210,50.00%,2.8,14,0.2,33.32,49,68.00%,246.12,56,154,210,21,21,28,21,91,,Dante Cunningham
BOS,PF/C,PF,C,Chris,Wilcox,66,10,1.43,2.6,55.00%,0,0,0,0.64,1,64.00%,3.5,1,2.5,3.5,0.2,0.6,0.333333333,0.2,0.25,1.8,0,0,660,94.38,171.6,55.00%,0,0,0,42.24,66,64.00%,231,66,165,231,13.2,39.6,13.2,16.5,118.8,,Chris Wilcox
BRK,SF/PF,PF,SF,Tornike,Shengelia,40,8,1.35,3,45.00%,0.16,0.6,0.27,0.63,0.9,70.00%,3.5,0.4,1.4,1.8,0.3,0.8,0.38,0.3,0.2,1.6,0,0,320,54,120,45.00%,6.48,24,0.27,25.2,36,70.00%,139.68,16,56,72,12,32,12,8,64,,Tornike Shengelia
BOS,C,C,C,Darko,Milicic,70,12,1.52,3.3,46.00%,0,0,0,0.45,0.8,56.00%,3.5,0.9,1.6,2.5,0.5,0.8,0.62,0.2,0.7,2,0,0,840,106.26,231,46.00%,0,0,0,31.36,56,56.00%,243.88,63,112,175,35,56,14,49,140,AVOID,Darko Milicic
HOU,PG/SG,PG/SG,SG,Shaun,Livingston,70,12,1.41,3,47.00%,0.02,0.1,0.24,0.62,0.8,78.00%,3.5,0.3,0.9,1.2,1.6,0.8,2,0.35,0.2,1,0,0,840,98.7,210,47.00%,1.68,7,0.24,43.68,56,78.00%,242.76,21,63,84,112,56,24.5,14,70,,Shaun Livingston
LAL,C,C,C,Robert,Sacre,66,10,1.2,2.4,50.00%,0,0,0,1.036,1.4,74.00%,3.4,0.7,1.5,2.2,0.2,0.6,0.333333333,0.15,0.45,1.3,0,0,660,79.2,158.4,46.50%,0,0,0.38,68.376,92.4,79.00%,226.78,46.2,99,145.2,13.2,39.6,9.9,29.7,85.8,,Robert Sacre
DAL,SG/SF,SG/SF,SG,Dahntay,Jones,66,12,1.148,2.8,41.00%,0.36,1,0.36,0.76,1,76.00%,3.4,0.3,1.1,1.4,0.7,0.5,1.4,0.25,0.15,1.4,0,0,792,75.768,184.8,41.00%,23.76,66,0.36,50.16,66,76.00%,225.46,19.8,72.6,92.4,46.2,33,16.5,9.9,92.4,,Dahntay Jones
GSW,SF,SF,PF,Draymond,Green,50,8,1.2,2.6,46.00%,0.25,0.7,0.36,0.74,1,74.00%,3.4,0.4,1.6,2,0.8,0.6,1.33,0.35,0.2,1.2,0,0,400,59.8,130,46.00%,12.6,35,0.36,37,50,74.00%,169.2,20,80,100,40,30,17.5,10,60,,Draymond Green
