TEAM,Y!,ESPN,CBS,FIRST_NAME,LAST_NAME,GP,MPG,FGM,FGA,FG%  ,3PM,3PA,3P%  ,FTM,FTA,FT%  ,PPG,OREB,DREB,TREB,AST,TO,AST/TO,STL,BLK,PF,DD,TD,TOTMIN,TOTFGM,TOTFGA,FG%  ,TOT3PM,TOT3PA,3P%  ,TOTFTM,TOTFTA,FT%  ,TOTPTS,TOTOR,TOTDR,TOTREB,TOTAST,TOTTO,TOTSTL,TOTBLK,TOTPF,Comments,Name
DAL,"PF,C",PF,PF,Dirk,Nowitzki,75,32.0,7.7,15.4,50.0%,1.7,4.2,40.5%,3.7,4.2,88.5%,20.82,0.8,5.8,6.6,2.6,1.4,1.86,0.85,0.45,2.0,6,0,2400,578,1155,50.0%,128,315,40.5%,279,315,88.5%,1561,60,435,495,195,105,64,34,150,,Dirk Nowitzki
SAC,"SF,PF",SF,SF,Rudy,Gay,74,36.0,7.5,16.3,46.0%,1.1,3.2,34.0%,4.5,5.5,81.0%,20.54,1.6,4.2,5.8,3.0,3.0,1.00,1.25,0.65,2.4,12,0,2664,555,1206,46.0%,81,237,34.0%,330,407,81.0%,1520,118,311,429,222,222,93,48,178,,Rudy Gay
CLE,"PG,SG",PG,PG,Kyrie,Irving,71,36.0,7.4,16.2,45.8%,2.0,5.0,39.8%,3.6,4.2,85.8%,20.43,0.5,2.7,3.2,5.4,2.6,2.08,1.65,0.35,2.6,6,1,2556,527,1150,45.8%,141,355,39.8%,256,298,85.8%,1451,36,192,227,383,185,117,25,185,,Kyrie Irving
GSW,"SG,SF","SG,SF",SG,Klay,Thompson,77,36.0,7.2,16.0,44.8%,3.0,7.0,42.8%,2.5,3.0,82.8%,19.82,0.5,2.9,3.4,2.4,2.4,1.00,1.10,0.55,2.8,2,0,2772,552,1232,44.8%,231,539,42.8%,191,231,82.8%,1526,39,223,262,185,185,85,42,216,SS,Klay Thompson
MIA,"PF,C","PF,C",C,Chris,Bosh,76,36.0,7.3,14.8,49.5%,0.8,2.6,31.0%,4.3,5.4,80.0%,19.78,1.7,6.3,8.0,2.0,2.2,0.91,1.00,1.15,2.6,32,0,2736,557,1125,49.5%,61,198,31.0%,328,410,80.0%,1503,129,479,608,152,167,76,87,198,,Chris Bosh
BKN,C,C,C,Brook,Lopez,69,31.0,7.7,14.2,54.5%,0.0,0.0,0.0%,4.2,5.4,77.0%,19.64,2.7,4.5,7.2,1.2,1.8,0.67,0.45,1.70,2.5,21,0,2139,534,980,54.5%,0,0,#DIV/0!,287,373,77.0%,1355,186,311,497,83,124,31,117,173,BBB,Brook Lopez
WAS,PG,PG,PG,John,Wall,76,37.0,7.0,16.0,44.0%,1.3,3.8,35.0%,4.0,5.0,80.5%,19.44,0.6,3.4,4.0,9.0,3.6,2.50,1.65,0.65,2.7,32,2,2812,535,1216,44.0%,101,289,35.0%,306,380,80.5%,1477,46,258,304,684,274,125,49,205,,John Wall
HOU,"PF,C","PF,C",C,Dwight,Howard,75,34.0,7.1,11.8,60.0%,0.0,0.0,0.0%,5.3,9.5,55.5%,19.43,3.3,8.7,12.0,1.8,3.2,0.56,0.95,2.05,3.4,53,0,2550,531,885,60.0%,0,0,#DIV/0!,395,713,55.5%,1457,248,653,900,135,240,71,154,255,,Dwight Howard
DAL,"PG,SG","PG,SG",SG,Monta,Ellis,77,36.0,7.1,15.4,46.0%,0.9,2.7,34.0%,3.9,5.0,78.6%,19.02,0.5,3.0,3.5,5.5,3.0,1.83,1.75,0.25,2.3,6,0,2772,545,1186,46.0%,71,208,34.0%,303,385,78.6%,1464,39,231,270,424,231,135,19,177,,Monta Ellis
MIA,"PG,SG",SG,SG,Dwyane,Wade,70,32.0,7.4,14.5,51.0%,0.5,1.8,29.0%,3.7,5.0,73.0%,18.96,1.0,3.2,4.2,5.0,3.0,1.67,1.55,0.55,2.2,7,1,2240,518,1015,51.0%,37,126,29.0%,256,350,73.0%,1327,70,224,294,350,210,109,39,154,,Dwyane Wade
WAS,SG,SG,SG,Bradley,Beal,64,36.0,7.0,16.2,43.4%,2.1,5.2,41.0%,2.6,3.3,79.8%,18.83,0.8,3.2,4.0,3.4,2.0,1.70,1.15,0.40,2.3,2,0,2304,450,1037,43.4%,136,333,41.0%,169,211,79.8%,1205,51,205,256,218,128,74,26,147,,Bradley Beal
PHO,"PG,SG","PG,SG",PG,Goran,Dragic,75,33.0,6.7,13.6,49.0%,1.5,3.8,39.0%,3.8,5.0,76.6%,18.64,0.7,2.3,3.0,5.6,2.6,2.15,1.45,0.25,2.7,5,0,2475,500,1020,49.0%,111,285,39.0%,287,375,76.6%,1398,53,173,225,420,195,109,19,203,,Goran Dragic
CHA,PG,PG,PG,Kemba,Walker,76,36.0,6.4,15.4,41.5%,1.6,4.7,34.5%,3.8,4.7,81.5%,18.23,0.5,3.3,3.8,6.2,2.4,2.58,1.40,0.40,1.9,8,1,2736,486,1170,41.5%,123,357,34.5%,291,357,81.5%,1386,38,251,289,471,182,106,30,144,,Kemba Walker
SAS,PG,PG,PG,Tony,Parker,72,30.0,7.2,14.2,50.5%,0.4,1.0,36.5%,3.5,4.3,81.5%,18.21,0.2,2.3,2.5,6.3,2.4,2.63,0.75,0.05,1.3,6,0,2160,516,1022,50.5%,26,72,36.5%,252,310,81.5%,1311,14,166,180,454,173,54,4,94,,Tony Parker
MIL,SF,SF,PF,Jabari,Parker,78,35.0,6.6,14.8,44.5%,0.6,2.0,29.5%,4.2,5.6,75.5%,17.99,1.8,5.4,7.2,2.0,2.8,0.71,1.20,0.40,3.4,16,0,2730,514,1154,44.5%,46,156,29.5%,330,437,75.5%,1403,140,421,562,156,218,94,31,265,TR,Jabari Parker
TOR,PG,PG,PG,Kyle,Lowry,76,36.0,5.8,13.6,42.5%,2.4,6.3,37.5%,4.1,5.0,81.0%,17.97,1.1,3.7,4.8,7.0,2.6,2.69,1.45,0.25,3.3,16,1,2736,439,1034,42.5%,180,479,37.5%,308,380,81.0%,1366,84,281,365,532,198,110,19,251,,Kyle Lowry
LAC,PG,PG,PG,Chris,Paul,72,34.0,6.1,13.0,47.0%,1.1,3.0,38.0%,4.6,5.4,85.0%,17.95,0.6,3.4,4.0,10.6,2.4,4.42,2.40,0.10,2.4,42,0,2448,440,936,47.0%,82,216,38.0%,330,389,85.0%,1292,43,245,288,763,173,173,7,173,,Chris Paul
DAL,"SF,PF",SF,SF,Chandler,Parsons,75,36.0,6.6,14.0,47.0%,2.2,5.7,38.0%,2.4,3.2,74.5%,17.71,1.1,4.7,5.8,3.5,1.9,1.84,1.20,0.40,2.3,9,1,2700,494,1050,47.0%,162,428,38.0%,179,240,74.5%,1328,83,353,435,263,143,90,30,173,CYC,Chandler Parsons
PHI,PG,PG,PG,Michael,Carter-Williams,69,34.0,6.4,15.5,41.0%,1.0,3.5,28.0%,4.0,5.5,72.0%,17.65,1.3,4.7,6.0,7.0,3.6,1.94,2.10,0.55,3.0,20,3,2346,438,1070,41.0%,68,242,28.0%,273,380,72.0%,1218,90,324,414,483,248,145,38,207,,Michael Carter-Williams
ATL,"PF,C",PF,PF,Paul,Millsap,76,33.0,6.4,13.8,46.6%,1.0,2.8,36.6%,3.7,5.0,74.4%,17.61,2.2,6.2,8.4,2.8,2.3,1.22,1.55,1.05,2.8,26,0,2508,489,1049,46.6%,78,213,36.6%,283,380,74.4%,1338,167,471,638,213,175,118,80,213,,Paul Millsap
GSW,"PF,C","PF,C",PF,David,Lee,74,33.0,7.2,13.5,53.0%,0.0,0.0,0.0%,3.3,4.2,78.0%,17.59,2.7,6.7,9.4,3.2,2.4,1.33,0.70,0.30,3.0,36,1,2442,529,999,53.0%,0,0,#DIV/0!,242,311,78.0%,1301,200,496,696,237,178,52,22,222,,David Lee
UTA,"SG,SF","SG,SF",SF,Gordon,Hayward,76,37.0,5.9,13.2,44.8%,1.5,3.8,38.8%,4.1,5.0,82.5%,17.43,0.8,4.0,4.8,5.0,3.0,1.67,1.45,0.55,2.0,10,1,2812,449,1003,44.8%,112,289,38.8%,314,380,82.5%,1324,61,304,365,380,228,110,42,152,SS,Gordon Hayward
PHO,"PG,SG","PG,SG",SG,Eric,Bledsoe,73,32.0,6.0,12.4,48.5%,1.3,3.4,37.5%,4.1,5.3,77.0%,17.38,0.6,3.8,4.4,4.8,3.0,1.60,1.65,0.65,2.4,8,1,2336,439,905,48.5%,93,248,37.5%,298,387,77.0%,1269,44,277,321,350,219,120,47,175,,Eric Bledsoe
LAC,"PG,SG","PG,SG",SG,Jamal,Crawford,72,28.0,5.7,13.3,42.5%,2.2,5.9,37.0%,3.7,4.3,86.0%,17.19,0.4,1.6,2.0,3.0,1.7,1.76,0.75,0.15,1.6,0,0,2016,407,958,42.5%,157,425,37.0%,266,310,86.0%,1237,29,115,144,216,122,54,11,115,,Jamal Crawford
MEM,"PF,C",PF,PF,Zach,Randolph,76,34.0,7.0,14.8,47.0%,0.0,0.2,20.0%,3.1,4.1,74.4%,17.00,3.4,6.6,10.0,2.5,2.1,1.19,0.75,0.25,2.6,44,0,2584,529,1125,47.0%,3,15,20.0%,232,312,74.4%,1292,258,502,760,190,160,57,19,198,,Zach Randolph
ATL,"PF,C","PF,C",C,Al,Horford,71,33.0,7.4,13.6,54.5%,0.1,0.2,25.0%,2.0,2.8,70.0%,16.83,2.4,6.4,8.8,2.8,2.1,1.33,0.85,1.30,2.2,28,0,2343,526,966,54.5%,4,14,25.0%,139,199,70.0%,1195,170,454,625,199,149,60,92,156,,Al Horford
MEM,PG,PG,PG,Mike,Conley,76,34.0,6.1,13.7,44.5%,1.5,4.1,36.5%,3.1,3.8,82.0%,16.81,0.6,2.6,3.2,6.0,2.2,2.73,1.65,0.15,2.0,4,0,2584,463,1041,44.5%,114,312,36.5%,237,289,82.0%,1277,46,198,243,456,167,125,11,152,,Mike Conley
BOS,"SG,SF","SF,PF",SF,Jeff,Green,77,34.0,5.9,13.7,43.0%,1.6,4.6,35.0%,3.4,4.2,80.0%,16.75,0.7,3.9,4.6,1.6,2.0,0.80,0.70,0.55,2.3,1,0,2618,454,1055,43.0%,124,354,35.0%,259,323,80.0%,1290,54,300,354,123,154,54,42,177,,Jeff Green
DET,"PF,C","PF,C",C,Andre,Drummond,78,33.0,7.0,11.5,61.0%,0.0,0.0,0.0%,2.5,5.7,43.0%,16.48,5.5,7.8,13.3,1.0,2.0,0.50,1.25,2.40,4.0,66,0,2574,547,897,61.0%,0,0,#DIV/0!,191,445,43.0%,1286,429,608,1037,78,156,98,187,312,SS,Andre Drummond
ATL,PG,PG,PG,Jeff,Teague,77,33.0,5.8,12.8,45.0%,1.0,3.0,34.4%,3.9,4.6,85.0%,16.46,0.4,2.2,2.6,7.2,3.0,2.40,1.40,0.35,2.1,16,0,2541,444,986,45.0%,79,231,34.4%,301,354,85.0%,1268,31,169,200,554,231,108,27,162,,Jeff Teague
UTA,"PG,SG","PG,SG",SG,Alec,Burks,76,35.0,5.5,12.0,45.5%,0.9,2.5,35.5%,4.6,6.1,75.5%,16.41,0.9,2.7,3.6,2.8,2.5,1.12,1.15,0.20,3.0,1,0,2660,415,912,45.5%,67,190,35.5%,350,464,75.5%,1247,68,205,274,213,190,87,15,228,RS,Alec Burks
